"Dataset S27. Molecular rates, environmental predictors, and life-history traits of species based on mitochondrial genes used in this study.",,,,,,,,,,,,,,,,,,,,,,,,
GenBank,ThermoMode,Group,Class,Order,Family,Species,Clade,dN (substitution/site/year),dS (substitution/site/year),dNdS,Clade.Age (Ma),Tip.Age (Ma),Mid Latitude (°),Mean Annual Temperature (℃),Habitat,BodyMass (g),Longevity (year),MaturityAge (year),Fecundity (Individual/year),Migration,Ref.BodyMass,Ref.Fecundity,Ref.MaturityAge,Ref.Longevity
JX891626.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Odontamblyopus_rubicundus,Fishes_Node4623,1.32E-10,2.17E-09,0.06,40.90,1.02,11.02,27.43,Marine,80.6,10.0,1.6,13443.1,NA,FishBase,,,
KT188772.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Taenioides_anguillaris,Fishes_Node4623,2.64E-10,5.07E-09,0.05,40.90,1.02,10.26,26.71,Marine&Freshwater,100.8,11.1,1.8,16898.8,NA,FishBase,,,
MK541897.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Paratrypauchen_microcephalus,Fishes_Node4623,2.70E-10,1.04E-08,0.03,40.90,14.13,12.35,27.59,Marine,19.8,7.1,1.2,6136.0,NA,FishBase,,,
MK541896.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Amblyotrypauchen_arctocephalus,Fishes_Node4623,2.72E-10,6.52E-09,0.04,40.90,14.13,9.96,28.20,Marine,37.6,6.5,1.1,4868.9,NA,FishBase,,,
JQ027694.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Trypauchen_vagina,Fishes_Node4623,3.44E-10,8.84E-09,0.04,40.90,8.08,12.60,27.65,Marine,43.9,8.0,1.4,12750.0,NA,FishBase,Aspects of reproductive biology of the red goby Trypauchen vagina (Gobiidae) from the Mekong Delta,,
MK541901.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Ctenotrypauchen_chinensis,Fishes_Node4623,1.45E-10,9.01E-09,0.02,40.90,8.08,15.35,24.72,Marine&Freshwater,6.9,5.6,1.0,3591.0,NA,FishBase,,,
MF927489.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Awaous_banana,Fishes_Node4641,2.39E-10,1.07E-08,0.02,20.17,20.17,17.54,22.62,Freshwater,627.8,8.0,1.6,11731.3,NA,FishBase,,,Aquariumwiki.com
MK496969.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Stiphodon_tuivi,Fishes_Node4641,2.50E-10,1.83E-08,0.01,20.17,5.66,9.50,25.00,Freshwater,0.4,2.7,0.6,685.8,NA,FishBase,,,
MK496967.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Stiphodon_pelewensis,Fishes_Node4641,1.63E-10,1.67E-08,0.01,20.17,3.29,8.40,26.40,Marine&Freshwater,0.7,3.1,0.6,939.2,NA,FishBase,,,
NC_018054.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Stiphodon_alcedo,Fishes_Node4641,2.97E-10,2.19E-08,0.01,20.17,3.29,26.10,22.39,Freshwater,1.0,3.2,0.7,997.7,NA,FishBase,,,
MF927496.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicydium_altum,Fishes_Node4641,2.26E-10,2.08E-08,0.01,20.17,4.19,9.90,21.50,Freshwater,34.2,6.2,1.1,4460.8,NA,FishBase,,,
MF927497.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicydium_salvini,Fishes_Node4641,2.21E-10,2.37E-08,0.01,20.17,4.19,10.13,24.78,Freshwater,14.7,6.2,1.1,4460.8,NA,FishBase,,,
MK496950.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_lividus,Fishes_Node4641,2.38E-10,1.84E-08,0.01,20.17,3.70,7.17,28.25,Marine&Freshwater,2.3,3.9,0.8,1522.5,NA,FishBase,,,
MK496963.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_microcephalus,Fishes_Node4641,2.24E-10,1.53E-08,0.01,20.17,3.70,6.50,24.63,Freshwater,15.5,5.5,1.0,3361.0,NA,FishBase,,,
MK496954.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_longifilis,Fishes_Node4641,8.91E-11,2.15E-08,0.00,20.17,1.80,6.12,25.22,Freshwater,11.2,5.1,0.9,2800.5,NA,FishBase,,,
MK496971.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_pugnans,Fishes_Node4641,3.24E-10,1.61E-08,0.02,20.17,1.80,15.10,24.67,Freshwater,4.0,4.3,0.8,1918.7,NA,FishBase,,,
MK496986.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_stiphodonoides,Fishes_Node4641,1.46E-10,1.14E-08,0.01,20.17,1.80,4.80,24.63,Freshwater,0.4,2.8,0.6,713.1,NA,FishBase,,,
MK496983.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_stimpsoni,Fishes_Node4641,3.40E-10,1.08E-08,0.03,20.17,5.85,20.65,22.27,Marine&Freshwater,98.1,7.5,1.3,6924.7,NA,FishBase,,,
MK496937.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_eudentatus,Fishes_Node4641,2.52E-10,1.50E-08,0.02,20.17,5.10,7.17,28.25,Marine&Freshwater,12.9,5.2,1.0,2947.8,NA,FishBase,,,
MK496941.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_franouxi,Fishes_Node4641,1.75E-10,1.03E-08,0.02,20.17,4.67,18.00,20.17,Freshwater,24.9,6.0,1.1,4100.2,NA,FishBase,,,
MK496976.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_sarasini,Fishes_Node4641,3.02E-10,1.01E-08,0.03,20.17,4.67,18.69,23.02,Freshwater,9.1,5.7,1.0,3668.4,NA,FishBase,,,
MK496944.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_japonicus,Fishes_Node4641,2.53E-10,1.58E-08,0.02,20.17,4.05,30.22,20.12,Marine&Freshwater,18.2,6.5,1.1,224960.0,NA,FishBase,FishBase,,
MK496965.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_parvei,Fishes_Node4641,4.10E-10,1.17E-08,0.04,20.17,3.59,7.06,25.29,Freshwater,8.8,5.7,1.0,3629.7,NA,FishBase,,,
MK496975.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_punctissimus,Fishes_Node4641,1.56E-10,1.62E-08,0.01,20.17,2.79,15.00,22.81,Freshwater,22.5,5.8,1.0,3746.2,NA,FishBase,,,
MK496961.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_marquesensis,Fishes_Node4641,2.05E-10,7.97E-09,0.03,20.17,1.92,9.10,24.97,Freshwater,12.3,5.2,1.0,2910.9,NA,FishBase,,,
KF482068.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_lagocephalus,Fishes_Node4641,3.29E-10,1.35E-08,0.02,20.17,1.92,11.07,26.77,Marine&Freshwater,25.7,6.0,1.1,46000.0,NA,FishBase,FishBase,,
MK496949.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_lengguru,Fishes_Node4641,2.03E-10,6.31E-09,0.03,20.17,1.37,3.50,22.70,Freshwater,7.2,4.8,0.9,2439.4,NA,FishBase,,,
MK496936.1,Ectotherms,Fishes,Actinopterygii,Gobiiformes,Gobiidae,Sicyopterus_cynocephalus,Fishes_Node4641,6.67E-11,6.83E-09,0.01,20.17,1.37,7.04,24.92,Freshwater,56.4,6.8,1.2,5494.7,NA,FishBase,,,
AP004438.1,Ectotherms,Fishes,Actinopterygii,Synbranchiformes,Indostomidae,Indostomus_paradoxus,Fishes_Node4666,3.05E-10,9.50E-09,0.03,87.58,87.58,21.70,23.96,Freshwater,0.1,5.0,0.5,84.2,NA,FishBase,,,Aquariumwiki.com
KP779623.1,Ectotherms,Fishes,Actinopterygii,Synbranchiformes,Synbranchidae,Monopterus_albus,Fishes_Node4666,3.85E-10,6.90E-09,0.06,87.58,87.58,24.32,17.68,Freshwater,1023.9,12.0,3.3,1000.0,NA,FishBase,FishBase,,Aquariumwiki.com
KP342509.1,Ectotherms,Fishes,Actinopterygii,Synbranchiformes,Mastacembelidae,Sinobdella_sinensis,Fishes_Node4667,1.62E-10,2.01E-09,0.08,40.78,2.62,30.59,15.10,Freshwater,30.2,8.2,1.5,4256.7,NA,FishBase,,,
KT443991.1,Ectotherms,Fishes,Actinopterygii,Synbranchiformes,Mastacembelidae,Macrognathus_aculeatus,Fishes_Node4667,2.68E-10,3.39E-09,0.08,40.78,2.62,11.38,24.40,Freshwater,174.0,12.0,2.0,6424.0,NA,FishBase,"A study on the fecundity of a freshwater eel, Macrognathus aculeatus (Bloch) of Mymensingh basin",,Aquariumwiki.com
KX177966.1,Ectotherms,Fishes,Actinopterygii,Synbranchiformes,Mastacembelidae,Macrognathus_pancalus,Fishes_Node4667,2.30E-10,6.12E-09,0.04,40.78,32.94,23.23,24.98,Freshwater,26.2,7.6,1.4,227.0,NA,FishBase,FishBase,,
AP002946.1,Ectotherms,Fishes,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus_favus,Fishes_Node4667,1.09E-10,5.77E-09,0.02,40.78,19.90,14.92,25.68,Freshwater,778.5,14.5,2.7,47463.2,NA,FishBase,,,
KY609156.1,Ectotherms,Fishes,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus_armatus,Fishes_Node4667,3.21E-10,7.44E-09,0.04,40.78,16.22,19.22,24.71,Freshwater,1301.1,18.0,3.1,7409.0,NA,FishBase,"Study of reproductive traits of spiny eel, Mastacembelus armatus (Mastacembeliforms) from Kalinadi-a tributary of the Ganges river basin, India",,Aquariumwiki.com
KY609155.1,Ectotherms,Fishes,Actinopterygii,Synbranchiformes,Mastacembelidae,Mastacembelus_erythrotaenia,Fishes_Node4667,2.17E-10,5.78E-09,0.04,40.78,16.22,5.36,25.94,Freshwater,2237.4,10.0,3.3,97239.5,NA,FishBase,,,Aquariumwiki.com
MT344964.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Badidae,Dario_dario,Fishes_Node4673,2.92E-10,1.00E-08,0.03,72.93,72.93,25.66,18.47,Freshwater,0.2,6.0,0.5,287.8,NA,FishBase,,,Aquariumwiki.com
MK482630.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Pristolepididae,Pristolepis_rubripinnis,Fishes_Node4673,1.02E-10,3.86E-09,0.03,72.93,72.93,10.00,27.37,Freshwater,47.9,6.4,1.2,1482.2,NA,FishBase,,,
NC_022480.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Channidae,Parachanna_insignis,Fishes_Node4675,2.10E-10,5.16E-09,0.04,67.63,67.63,2.38,23.93,Freshwater,1134.3,12.0,2.4,6505.1,NA,FishBase,,,Aquariumwiki.com
MF804538.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Channidae,Channa_lucius,Fishes_Node4675,1.83E-10,5.46E-09,0.03,67.63,41.70,7.84,25.41,Freshwater,505.9,12.0,2.0,2617.0,NA,FishBase,"EA Preliminary Study on Domestication of Bluespotted Snakehead (Channa Lucius, Channidae) in Concrete Tank",,Average of Genus
KX129904.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Channidae,Channa_micropeltes,Fishes_Node4675,1.81E-10,7.08E-09,0.03,67.63,11.66,7.91,25.92,Freshwater,48114.3,10.0,3.8,24786.0,NA,FishBase,ANALISA ASPEK REPRODUKSI IKAN TOMAN (Channa micropeltes) DI SUNGAI BELIDA KABUPATEN MUARA ENIM,,Aquariumwiki.com
MG986721.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Channidae,Channa_diplogramma,Fishes_Node4675,1.90E-10,7.32E-09,0.03,67.63,11.66,10.50,25.27,Freshwater,1196.7,12.0,2.4,6531.7,NA,FishBase,,,Average of Genus
KX177965.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Channidae,Channa_striata,Fishes_Node4675,1.36E-10,6.32E-09,0.02,67.63,41.75,16.72,23.68,Freshwater,9457.1,12.0,1.8,12441.0,NA,FishBase,FishBase,FishBase,Aquariumwiki.com
MK007075.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Channidae,Channa_punctata,Fishes_Node4675,2.86E-10,9.22E-09,0.03,67.63,34.57,25.72,21.66,Freshwater,348.3,12.0,1.8,2300.0,NA,FishBase,FishBase,,Aquariumwiki.com
MF924390.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Channidae,Channa_gachua,Fishes_Node4675,3.84E-10,8.57E-09,0.04,67.63,34.57,24.70,17.98,Freshwater,242.4,12.0,1.7,1709.0,NA,FishBase,__C _I_M SINH H_C SINH S_N C_A C_ CH_NH D_C (Channa gachua) PH_N B_ _ T_NH H_U GIANG,,Aquariumwiki.com
KJ930190.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Channidae,Channa_asiatica,Fishes_Node4675,1.61E-10,9.75E-09,0.02,67.63,30.07,25.14,19.99,Freshwater,64.1,8.0,1.4,1000.0,NA,FishBase,The Freshwater Fishes of Guangdong,,Aquariumwiki.com
KF420268.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Channidae,Channa_marulius,Fishes_Node4675,2.54E-10,4.07E-09,0.06,67.63,24.94,24.22,20.04,Freshwater,49465.3,10.0,4.5,40000.0,NA,FishBase,FishBase,,Aquariumwiki.com
KJ808811.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Anabantidae,Anabas_testudineus,Fishes_Node4685,2.09E-10,5.05E-09,0.04,69.38,69.38,17.33,23.95,Freshwater,349.5,8.0,1.6,12571.0,NA,FishBase,FishBase,,FishBase
KU984978.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Osphronemus_goramy,Fishes_Node4685,1.01E-10,3.18E-09,0.03,69.38,63.73,7.99,26.28,Freshwater,6680.2,25.0,2.7,5508.0,NA,FishBase,"Some aspects in early life stage of giant gourami, Osphronemus goramy (Lacepede) larvae.",,Aquariumwiki.com
MW292561.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Betta_smaragdina,Fishes_Node4685,3.18E-10,3.60E-09,0.09,69.38,30.94,16.54,25.96,Freshwater,4.2,2.0,0.8,721.3,NA,FishBase,,,Aquariumwiki.com
KR527219.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Betta_splendens,Fishes_Node4685,5.09E-10,4.85E-09,0.11,69.38,30.94,13.83,27.29,Freshwater,3.3,2.0,0.8,390.0,NA,FishBase,FishBase,,FishBase
KJ813282.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Macropodus_ocellatus,Fishes_Node4685,1.73E-10,8.38E-09,0.02,69.38,27.37,36.14,12.40,Freshwater,4.1,5.0,0.8,632.4,NA,FishBase,,,Aquariumwiki.com
KM588227.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Macropodus_opercularis,Fishes_Node4685,2.01E-10,6.81E-09,0.03,69.38,17.04,27.45,17.80,Freshwater,4.3,8.0,0.8,606.0,NA,FishBase,"Optimum dietary protein requirement of Paradise fish, Macropodus opercularis based on growth and reproduction performances",,FishBase
MN128300.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Macropodus_hongkongensis,Fishes_Node4685,1.28E-10,5.46E-09,0.02,69.38,15.89,22.50,22.72,Freshwater,3.8,4.7,0.8,610.3,NA,FishBase,,,
KU215670.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Macropodus_erythropterus,Fishes_Node4685,4.53E-10,1.02E-08,0.04,69.38,15.89,17.00,24.72,Freshwater,4.9,4.9,0.8,665.6,NA,FishBase,,,
KP301136.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Trichogaster_fasciata,Fishes_Node4685,2.86E-10,8.33E-09,0.03,69.38,26.63,26.08,22.84,Freshwater,38.8,8.0,1.1,19291.0,NA,FishBase,"Biology and fishery of banded gourami, Colisa fasciata (Bloch and Schneider 1801) in a floodplain wetland of Ganga river basin",,Aquariumwiki.com
NC_022479.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Trichogaster_lalius,Fishes_Node4685,2.04E-10,1.14E-08,0.02,69.38,26.63,27.37,23.65,Freshwater,18.1,4.0,1.0,800.0,NA,FishBase,"The effect of Spirulina on reproductive parameters, body composition, immune indices and digestive enzyme in dwarf gourami (Trichogaster lalius)",,Aquariumwiki.com
KP699581.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Trichopodus_leerii,Fishes_Node4685,2.52E-10,6.15E-09,0.04,69.38,29.98,2.59,26.29,Freshwater,29.5,6.0,1.1,1294.0,NA,FishBase,,,Aquariumwiki.com
KY606169.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Trichopodus_pectoralis,Fishes_Node4685,1.35E-10,8.18E-09,0.02,69.38,12.52,11.10,25.62,Freshwater,324.0,8.1,1.6,1000.0,NA,FishBase,FishBase,,
KP100265.1,Ectotherms,Fishes,Actinopterygii,Anabantiformes,Osphronemidae,Trichopodus_trichopterus,Fishes_Node4685,1.78E-10,9.96E-09,0.02,69.38,12.52,8.62,25.59,Freshwater,128.4,6.6,1.2,1648.3,NA,FishBase,,,
MW689259.1,Ectotherms,Fishes,Actinopterygii,Incertae-sedis-in-Carangaria,Toxotidae,Toxotes_chatareus,Fishes_Node4699,1.14E-10,3.09E-09,0.04,83.16,83.16,15.04,26.12,Freshwater,1411.5,8.0,1.0,150000.0,NA,FishBase,"Aspects of the reproductive biology of two archer fishes Toxotes chatareus, (Hamilton 1822) and Toxotes jaculatrix (Pallas 1767)",FishBase,Aquariumwiki.com
MW532168.1,Ectotherms,Fishes,Actinopterygii,Incertae-sedis-in-Carangaria,Polynemidae,Pentanemus_quinquarius,Fishes_Node4699,2.17E-10,5.42E-09,0.04,83.16,50.22,6.59,26.81,Marine,338.8,10.4,1.9,61244.1,NA,FishBase,,,
KT593869.1,Ectotherms,Fishes,Actinopterygii,Incertae-sedis-in-Carangaria,Polynemidae,Eleutheronema_tetradactylum,Fishes_Node4699,2.42E-10,4.25E-09,0.06,83.16,31.91,11.03,26.88,Marine&Freshwater,63670.4,23.9,4.7,341358.0,NA,FishBase,FishBase,,
MW630081.1,Ectotherms,Fishes,Actinopterygii,Incertae-sedis-in-Carangaria,Polynemidae,Eleutheronema_rhadinum,Fishes_Node4699,3.23E-10,3.54E-09,0.09,83.16,31.91,26.11,23.39,Marine,2921.1,14.9,2.8,363609.2,NA,FishBase,,,
KP259870.1,Ectotherms,Fishes,Actinopterygii,Incertae-sedis-in-Carangaria,Polynemidae,Polydactylus_sextarius,Fishes_Node4699,4.20E-10,6.11E-09,0.07,83.16,41.35,8.79,28.30,Marine,532.1,9.7,1.8,42413.9,NA,FishBase,,,
KU199001.1,Ectotherms,Fishes,Actinopterygii,Incertae-sedis-in-Carangaria,Polynemidae,Polynemus_dubius,Fishes_Node4699,1.26E-10,5.43E-09,0.02,83.16,41.35,2.50,27.49,Marine&Freshwater,52.2,8.0,1.4,10256.0,NA,FishBase,"Beberapa Aspek Biologi Ikan Kurau (Polynemus dubius) di Estuari Sungai Indragiri, Riau",,
KU315124.1,Ectotherms,Fishes,Actinopterygii,Istiophoriformes,Istiophoridae,Istiophorus_platypterus,Fishes_Node4707,6.28E-11,9.30E-09,0.01,2.29,2.29,18.09,24.88,Marine,123288.3,13.0,6.2,2097481.0,NA,FishBase,FishBase,,FishBase
KU315120.1,Ectotherms,Fishes,Actinopterygii,Istiophoriformes,Istiophoridae,Makaira_nigricans,Fishes_Node4707,1.08E-10,1.14E-08,0.01,2.29,1.82,20.78,4.00,Marine,951383.8,17.0,7.5,13500000.0,NA,FishBase,Reproduction and Development in Epipelagic Fishes,,Reproduction and Development in Epipelagic Fishes
KJ510416.1,Ectotherms,Fishes,Actinopterygii,Istiophoriformes,Istiophoridae,Istiompax_indica,Fishes_Node4707,2.49E-10,1.11E-08,0.02,2.29,1.71,19.54,24.27,Marine,23185.4,35.7,7.2,67000000.0,NA,FishBase,FishBase,,
KU315127.1,Ectotherms,Fishes,Actinopterygii,Istiophoriformes,Istiophoridae,Kajikia_albida,Fishes_Node4707,2.22E-10,1.42E-08,0.02,2.29,1.49,23.62,23.07,Marine,125010.0,12.0,5.8,877000.0,NA,FishBase,Physiological Stress and Post-Release Mortality of White Marlin (Kajikia albida) Caught in the U.S Recreational Fishery,,Reproduction and Development in Epipelagic Fishes
KU315123.1,Ectotherms,Fishes,Actinopterygii,Istiophoriformes,Istiophoridae,Tetrapturus_georgii,Fishes_Node4707,2.87E-10,2.22E-08,0.01,2.29,1.49,19.99,24.61,Marine,21500.0,22.9,4.5,331401.4,NA,FishBase,,,
FJ154956.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Rachycentridae,Rachycentron_canadum,Fishes_Node4713,3.55E-10,5.28E-09,0.07,38.39,38.39,15.50,26.56,Marine,56242.7,15.0,2.5,1935000.0,NA,FishBase,FishBase,FishBase,FishBase
MH576916.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Coryphaenidae,Coryphaena_equiselis,Fishes_Node4713,3.73E-10,5.52E-08,0.01,38.39,3.16,18.75,24.55,Marine,12121.1,4.0,2.0,168498.2,NA,FishBase,,,FishBase
KF719178.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Coryphaenidae,Coryphaena_hippurus,Fishes_Node4713,4.52E-10,3.70E-08,0.01,38.39,3.16,19.78,24.28,Marine,77310.0,4.0,0.4,134890.0,NA,FishBase,FishBase,FishBase,FishBase
KJ556976.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Trachinotus_carolinus,Fishes_Node4716,1.86E-10,2.78E-08,0.01,3.20,3.20,19.22,25.60,Marine,1496.2,4.2,2.7,630000.0,NA,FishBase,CONDITIONING FLORIDA POMPANO (Trachinotus carolinus) FOR CONTINUOUS SPAWNING,,FishBase
KF356397.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Trachinotus_ovatus,Fishes_Node4716,2.35E-10,2.37E-08,0.01,3.20,2.44,32.35,19.79,Marine,336.0,5.0,3.3,32080.0,NA,FishBase,"Reproductive traits of the pompano, Trachinotus ovatus (Linnaeus, 1758), in the north-western Mediterranean",,FishBase
KJ184305.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Trachinotus_blochii,Fishes_Node4716,2.53E-10,2.64E-08,0.01,3.20,2.44,11.56,27.98,Marine,14980.4,7.6,2.2,128058.1,NA,FishBase,,,
KT824759.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Elagatis_bipinnulata,Fishes_Node4719,1.13E-10,1.05E-08,0.01,23.18,23.18,9.82,26.68,Marine,20455.4,6.0,1.8,100000.0,NA,FishBase,"Broodstock development through regulation of photoperiod and controlled breeding of silver pompano, Trachinotus blochii (Lacepede, 1801) in India",,FishBase
KT591876.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Seriolina_nigrofasciata,Fishes_Node4719,3.06E-10,1.51E-08,0.02,23.18,6.17,11.83,27.89,Marine,5439.6,7.1,2.6,82364.7,NA,FishBase,,,
NC_016868.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Seriola_quinqueradiata,Fishes_Node4719,2.36E-10,2.30E-08,0.01,23.18,2.66,32.17,20.89,Marine,42862.5,8.0,2.0,173352.1,NA,FishBase,,,
MH211123.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Seriola_lalandi,Fishes_Node4719,2.38E-10,1.49E-08,0.02,23.18,2.66,17.36,24.92,Marine,116392.1,12.0,2.0,400000.0,NA,FishBase,Captive spawning and larval rearing of California yellowtail (Seriola lalandi),FishBase,FishBase
KP347126.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Seriola_rivoliana,Fishes_Node4719,2.98E-10,1.82E-08,0.02,23.18,3.23,11.62,25.43,Marine,56676.7,8.1,1.9,184627.8,NA,FishBase,,,
NC_016870.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Seriola_dumerili,Fishes_Node4719,1.80E-10,1.60E-08,0.01,23.18,3.23,16.83,21.88,Marine,88634.2,15.0,2.7,330821.0,NA,FishBase,Multiple GnRHa injections to induce successful spawning of wild caught greater amberjack (Seriola dumerili) matured in captivity,FishBase,FishBase
KJ148633.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Selar_crumenophthalmus,Fishes_Node4724,1.34E-10,1.69E-08,0.01,15.95,15.95,14.61,26.95,Marine,7367.1,7.1,2.6,136000.0,NA,FishBase,"Reproductive biology of two Hawaiian pelagic carangid fishes, the bigeye scad, Selar crumenophthalmus, and the round scad, Decapturus macarellus",,
KM201334.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Carangoides_equula,Fishes_Node4724,4.52E-10,1.41E-08,0.03,15.95,12.61,13.97,19.85,Marine,1950.9,6.7,2.9,59300.6,NA,FishBase,,,
AP003091.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Trachurus_japonicus,Fishes_Node4724,2.06E-10,1.60E-08,0.01,15.95,1.61,35.90,19.11,Marine,1545.1,12.0,3.0,48500.0,NA,FishBase,FishBase,FishBase,FishBase
AB108498.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Trachurus_trachurus,Fishes_Node4724,2.34E-10,1.10E-08,0.02,15.95,1.61,48.50,4.00,Marine,2785.0,7.1,2.6,129759.0,NA,FishBase,FishBase,FishBase,
MN102718.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Decapterus_tabl,Fishes_Node4724,8.13E-11,2.73E-08,0.00,15.95,4.01,17.32,25.47,Marine,1760.2,6.7,2.9,20000.0,NA,FishBase,FishBase,,
MT818506.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Decapterus_maruadsi,Fishes_Node4724,5.12E-11,1.05E-08,0.00,15.95,2.09,11.39,27.72,Marine,401.5,6.2,3.5,139500.0,NA,FishBase,"Some biological parameters and fisheries status of shared stock Decapterus, Rastrelliger and tunas in coastal seawaters of Vietnam",,
MN711693.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Decapterus_russelli,Fishes_Node4724,5.11E-10,1.32E-08,0.04,15.95,2.09,13.09,25.35,Marine,836.3,6.6,3.0,18336.0,NA,FishBase,FishBase,FishBase,
KM986880.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Decapterus_macarellus,Fishes_Node4724,2.13E-10,4.05E-08,0.01,15.95,1.59,14.52,20.98,Marine,1815.6,6.6,3.0,46105.0,NA,FishBase,"Reproductive Potential of the Mackerel Scad, Decapterus macarellus (Cuvier, 1833) in the Coastal Waters of Tanzania",,
KF841444.1,Ectotherms,Fishes,Actinopterygii,Carangiformes,Carangidae,Decapterus_macrosoma,Fishes_Node4724,3.05E-10,5.89E-08,0.01,15.95,1.59,12.70,27.23,Marine,417.5,6.4,3.0,55450.0,NA,FishBase,FishBase,FishBase,
